gameno,gamedate,opponent,outcome
144,9/10/2011,at Toronto Blue Jays,L
145,9/11/2011,at Toronto Blue Jays,L
146,9/12/2011,vs Tampa Bay Rays,L
147,9/13/2011,vs Tampa Bay Rays,W
148,9/14/2011,vs Tampa Bay Rays,W
149,9/16/2011,vs Los Angeles Angels,W
150,9/17/2011,vs Los Angeles Angels,W
151,9/18/2011,vs Los Angeles Angels,L
152-I,9/19/2011,at Boston Red Sox,W
153-II,9/19/2011,at Boston Red Sox,L
154,9/20/2011,at Boston Red Sox,W
155,9/21/2011,at Boston Red Sox,W
156,9/22/2011,at Detroit Tigers,W
157,9/23/2011,at Detroit Tigers,L
158,9/24/2011,at Detroit Tigers,W
159,9/25/2011,at Detroit Tigers,L
160,9/26/2011,vs Boston Red Sox,W
161,9/27/2011,vs Boston Red Sox,L
162,9/28/2011,vs Boston Red Sox,W
